Property Type,Address,Price,Area
3 BHK Independent House,"Oriya Bazaar, Cuttack",Rs 90 L,"9,000 / sq ft"
3 BHK Apartment,"Prestine Park by Raghupatee Estate, Phulnakhara, Cuttack",Rs 52 L,"3,284 / sq ft"
Residential Plot,"Masik Patna Colony, Cuttack",Rs 16 L,"1,066 / sq ft"
Residential Plot,"Kendupatana, Cuttack Kendrapada Road, Cuttack",Rs 45 L,230 / sq ft
Residential Plot,"Aditya nagar Naranapur, Trisulia, Cuttack",Rs 31 L,"2,066 / sq ft"
Residential Plot,"Poparada, Cuttack",Rs 12 L,750 / sq ft
Residential Plot,"Jagatpur, Cuttack",Rs 6.5 L,650 / sq ft
Residential Plot,"Naya Bazaar, Cuttack",Rs 28 L,"1,064 / sq ft"
Residential Plot,"Individual, Nuapada, Cuttack",Rs 20 L,"1,149 / sq ft"
2 BHK Independent Floor,"Beleswar project, Nuapada, Cuttack",Rs 20 L,"1,148 / sq ft"
Residential Plot,"Jyo, Govindpur, Cuttack",Rs 12.5 L,833 / sq ft
5 BHK Independent House,"Oriya Bazaar, Cuttack",Rs 95 L,"6,333 / sq ft"
9 BHK Independent House,"Mahanadi Vihar, Cuttack",Rs 1.26 Cr,"3,600 / sq ft"
4 BHK Independent House,"Shelter Colony, Cuttack",Rs 1.2 Cr,"4,597 / sq ft"
Residential Plot,"Amaravati, Choudwar, Cuttack",Rs 13.5 L,900 / sq ft
Residential Plot,"Gurudev, Bhanapur Road, Cuttack",Rs 24 L,"1,200 / sq ft"
Residential Plot,"Jyotsna Vihar, Bhanapur Road, Cuttack",Rs 15 L,"1,250 / sq ft"
2 BHK Apartment,"Masik Patna Colony, Cuttack",Rs 35 L,"3,888 / sq ft"
Residential Plot,"Masik Patna Colony, Cuttack",Rs 16 L,"1,066 / sq ft"
Residential Plot,"Cuttack Paradeep Road, Cuttack",Rs 90 L,590 / sq ft
Residential Plot,"Land for sale, P u r i Cuttack Bypass Road, Cuttack",Rs 75 L,375 / sq ft
Residential Plot,"Cuttack Jagatsinghpur Road, Cuttack",Rs 91 L,455 / sq ft
Residential Plot,"Cuttack Athgarh Road, Cuttack",Rs 1.5 Cr,937 / sq ft
